Gene0	Gene1	mutexProbability
MDS2loss	HLA-Aloss	0.04712438848211392
HLA-Aloss	FOXO1loss	0.035078906968262644
MLL2loss	MLF1loss	0.04435129985580285
MLL2loss	LPPloss	0.04714536634821477
MLL3loss	LHFPloss	0.041875528711082584
PIK3CAloss	MLLT10loss	0.04535876062386805
HLA-Aloss	LHFPloss	0.04377090611649054
MLL2loss	CEP89loss	0.0378443387724594
ATICloss	HLA-Aloss	0.044204621734488435
MLL3loss	SRGAP3loss	0.044492465380481946
MAFloss	HLA-Aloss	0.03535752346116208
HOXA13loss	HLA-Aloss	0.0465571710622634
MLL3loss	ABI1loss	0.04825491399053058
CDH1loss	PDE4DIPloss	0.044232480954931624
LMO2loss	HLA-Aloss	0.04274563929582446
MLL3loss	RAD21loss	0.0423789242235902
WT1loss	HLA-Aloss	0.04323228846549709
MLL3loss	MYBloss	0.033790405095669045
MLL2loss	SDHAF2loss	0.03020216918021249
MLL3loss	PAFAH1B2loss	0.04730474429668405
BRAFloss	SDHBloss	0.03480251360284793
MLL3loss	CCND2loss	0.04431210266836078
MLL2loss	SRSF2loss	0.04991837161473413
MLL3loss	AKT2loss	0.04237673591822389
MLL3loss	PRF1loss	0.030703870856938615
SMARCB1loss	HLA-Aloss	0.04868527124192231
CDK6loss	HLA-Aloss	0.04778706957150307
MLL2loss	NAB2loss	0.046729251161386834
CDKN2Closs	HLA-Aloss	0.036756189285747844
RPL22loss	BRAFloss	0.03647262576299687
MLL2loss	GATA2loss	0.04568321286035894
MLL3loss	CHEK2loss	0.03406152484486108
MLL3loss	CLP1loss	0.044603222657338494
MLL3loss	RPL10loss	0.03295828321347494
MLL3loss	MLF1loss	0.03228410240518405
MLL2loss	CEBPAloss	0.030626382948719815
MLL3loss	CDKN1Bloss	0.043314838569101545
MLL2loss	NF2loss	0.04473247008555932
KRASloss	IDH1loss	0.03410985202631371
MLL3loss	CD79Aloss	0.030928516886357636
MLL3loss	CCDC6loss	0.030053377141933377
MECOMloss	MLL3loss	0.04188170402554943
MSI2loss	MLL3loss	0.039098594980366726
